id_competence,competence,competence_definition,id_skill,ability,ability_definition,course_abilities
3.0,Trabajo en equipo,"Una persona demuestra que sabe trabajar en equipo cuando es capaz de dirigir sus esfuerzos al logro de una meta común a su equipo de trabajo, subordinando sus intereses personales a los objetivos y estrategias trazados por este y corresponsabilizándose de los resultados obtenidos en conjunto.",11.0,Relacionamiento,"Habilidad para crear, mantener y expandir la propia red de contactos con base en relaciones de valor y confianza.","Relacionamiento: 
Habilidad para crear, mantener y expandir la propia red de contactos con base en relaciones de valor y confianza."
4.0,Resolución de problemas,"Una persona demuestra que sabe resolver problemas cuando es capaz de identificar un problema (situación en la que se produce una desviación entre lo que sucede y lo que debería estar sucediendo), tomar medidas para encontrar una solución deseada entre múltiples opciones posibles, y supervisar y evaluar la implementación de tal solución. ",12.0,Análisis de escenarios,"Habilidad para generar interacciones modeladas con el entorno, proyectando y comparando diversos escenarios posibles con miras a contrastar las amenazas e identificar las oportunidades que desencadenaría la toma determinadas decisiones. ","Análisis de escenarios: 
Habilidad para generar interacciones modeladas con el entorno, proyectando y comparando diversos escenarios posibles con miras a contrastar las amenazas e identificar las oportunidades que desencadenaría la toma determinadas decisiones. "
4.0,Resolución de problemas,"Una persona demuestra que sabe resolver problemas cuando es capaz de identificar un problema (situación en la que se produce una desviación entre lo que sucede y lo que debería estar sucediendo), tomar medidas para encontrar una solución deseada entre múltiples opciones posibles, y supervisar y evaluar la implementación de tal solución. ",13.0,Toma de decisiones,Habilidad para sustentar las decisiones críticas con datos o modelos de datos de alta calidad y confiabilidad.,"Toma de decisiones: 
Habilidad para sustentar las decisiones críticas con datos o modelos de datos de alta calidad y confiabilidad."
4.0,Resolución de problemas,"Una persona demuestra que sabe resolver problemas cuando es capaz de identificar un problema (situación en la que se produce una desviación entre lo que sucede y lo que debería estar sucediendo), tomar medidas para encontrar una solución deseada entre múltiples opciones posibles, y supervisar y evaluar la implementación de tal solución. ",14.0,Pensamiento crítico,Habilidad para profundizar en prácticas y estrategias que permiten cuestionar las propias convicciones y las de otros con el fin de llegar a la postura más razonable sobre un tema. ,"Pensamiento crítico: 
Habilidad para profundizar en prácticas y estrategias que permiten cuestionar las propias convicciones y las de otros con el fin de llegar a la postura más razonable sobre un tema. "
5.0,Comunicación,"Una persona demuestra su competencia comunicativa cuando es capaz de escuchar activamente a otra y transmitir información oral, escrita y no verbal con precisión, claridad, asertividad y sentido de la oportunidad siguiendo las pautas de conducta aplicadas al contexto en el que se genera el intercambio comunicativo.
",15.0,Asertividad,"Habilidad de comunicar lo que se piensa, siente y requiere con claridad, sin herir al otro ni imponerse sobre él.","Asertividad: 
Habilidad de comunicar lo que se piensa, siente y requiere con claridad, sin herir al otro ni imponerse sobre él."
5.0,Comunicación,"Una persona demuestra su competencia comunicativa cuando es capaz de escuchar activamente a otra y transmitir información oral, escrita y no verbal con precisión, claridad, asertividad y sentido de la oportunidad siguiendo las pautas de conducta aplicadas al contexto en el que se genera el intercambio comunicativo.
",16.0,Comunicación efectiva,"Habilidad para comunicar a un interlocutor que su mensaje ha sido transmitido, atendido y comprendido correctamente.","Comunicación efectiva: 
Habilidad para comunicar a un interlocutor que su mensaje ha sido transmitido, atendido y comprendido correctamente."
5.0,Comunicación,"Una persona demuestra su competencia comunicativa cuando es capaz de escuchar activamente a otra y transmitir información oral, escrita y no verbal con precisión, claridad, asertividad y sentido de la oportunidad siguiendo las pautas de conducta aplicadas al contexto en el que se genera el intercambio comunicativo.
",17.0,Marca personal,"Habilidad para influir positivamente sobre las percepciones, los recuerdos y las expectativas que los demás tienen sobre uno, a través del refuerzo de un mismo mensaje de valor comunicado conscientemente durante la interacción por medio del lenguaje verbal y no verbal y la apariencia personal.","Marca personal: 
Habilidad para influir positivamente sobre las percepciones, los recuerdos y las expectativas que los demás tienen sobre uno, a través del refuerzo de un mismo mensaje de valor comunicado conscientemente durante la interacción por medio del lenguaje verbal y no verbal y la apariencia personal."
5.0,Comunicación,"Una persona demuestra su competencia comunicativa cuando es capaz de escuchar activamente a otra y transmitir información oral, escrita y no verbal con precisión, claridad, asertividad y sentido de la oportunidad siguiendo las pautas de conducta aplicadas al contexto en el que se genera el intercambio comunicativo.
",18.0,Redacción y ortografía,Habilidad para expresar de manera clara y ordenada y comunicar de manera efectiva un mensaje aplicando las reglas sintácticas y estilísticas del lenguaje escrito.,"Redacción y ortografía: 
Habilidad para expresar de manera clara y ordenada y comunicar de manera efectiva un mensaje aplicando las reglas sintácticas y estilísticas del lenguaje escrito."
5.0,Comunicación,"Una persona demuestra su competencia comunicativa cuando es capaz de escuchar activamente a otra y transmitir información oral, escrita y no verbal con precisión, claridad, asertividad y sentido de la oportunidad siguiendo las pautas de conducta aplicadas al contexto en el que se genera el intercambio comunicativo.
",19.0,Protocolo y etiqueta empresarial,Habilidad para seguir las pautas de conducta aplicadas al ámbito de los negocios con el objetivo de evitar que las relaciones laborales o comerciales generen conflictos o crisis de reputación o imagen. ,"Protocolo y etiqueta empresarial: 
Habilidad para seguir las pautas de conducta aplicadas al ámbito de los negocios con el objetivo de evitar que las relaciones laborales o comerciales generen conflictos o crisis de reputación o imagen. "
5.0,Comunicación,"Una persona demuestra su competencia comunicativa cuando es capaz de escuchar activamente a otra y transmitir información oral, escrita y no verbal con precisión, claridad, asertividad y sentido de la oportunidad siguiendo las pautas de conducta aplicadas al contexto en el que se genera el intercambio comunicativo.
",20.0,Hablar en público,"Habilidad para hablar bien, con fluidez, propiedad y fuerza expresiva para convencer de algo a un escucha o influir en su comportamiento.","Hablar en público: 
Habilidad para hablar bien, con fluidez, propiedad y fuerza expresiva para convencer de algo a un escucha o influir en su comportamiento."
5.0,Comunicación,"Una persona demuestra su competencia comunicativa cuando es capaz de escuchar activamente a otra y transmitir información oral, escrita y no verbal con precisión, claridad, asertividad y sentido de la oportunidad siguiendo las pautas de conducta aplicadas al contexto en el que se genera el intercambio comunicativo.
",20.0,Gestión de stakeholders,Habilidad para mantener una comunicación efectiva con los miembros de tu empresa que son clave para lograr tus objetivos.,"Gestión de stakeholders: 
Habilidad para mantener una comunicación efectiva con los miembros de tu empresa que son clave para lograr tus objetivos."
6.0,Inglés,"Una persona demuestra su habilidad para comunicarse en inglés cuando es capaz de solucionar las necesidades comunicativas que surgen en el marco de sus actividades y relaciones profesionales, empleando el sistema lingüístico propio de este idioma.",21.0,Grammar,"Habilidad para producir enunciados en inglés que respeten las reglas de la gramática de esa lengua, así como para comprenderlos y emitir juicios sobre su gramaticalidad.","Grammar: 
Habilidad para producir enunciados en inglés que respeten las reglas de la gramática de esa lengua, así como para comprenderlos y emitir juicios sobre su gramaticalidad."
6.0,Inglés,"Una persona demuestra su habilidad para comunicarse en inglés cuando es capaz de solucionar las necesidades comunicativas que surgen en el marco de sus actividades y relaciones profesionales, empleando el sistema lingüístico propio de este idioma.",22.0,Listening,Habilidad para interpretar textos orales en inglés poniendo en marcha procesos de descodificación lingüística y de interpretación sociocultural. ,"Listening: 
Habilidad para interpretar textos orales en inglés poniendo en marcha procesos de descodificación lingüística y de interpretación sociocultural. "
6.0,Inglés,"Una persona demuestra su habilidad para comunicarse en inglés cuando es capaz de solucionar las necesidades comunicativas que surgen en el marco de sus actividades y relaciones profesionales, empleando el sistema lingüístico propio de este idioma.",23.0,Reading,Habilidad para interpretar textos escritos en inglés poniendo en marcha procesos de descodificación lingüística y de interpretación sociocultural. ,"Reading: 
Habilidad para interpretar textos escritos en inglés poniendo en marcha procesos de descodificación lingüística y de interpretación sociocultural. "
6.0,Inglés,"Una persona demuestra su habilidad para comunicarse en inglés cuando es capaz de solucionar las necesidades comunicativas que surgen en el marco de sus actividades y relaciones profesionales, empleando el sistema lingüístico propio de este idioma.",24.0,Speaking,"Habilidad para comunicar eficazmente datos, ideas, hechos, opiniones y sentimientos de forma oral empleando el sistema lingüístico propio del inglés.","Speaking: 
Habilidad para comunicar eficazmente datos, ideas, hechos, opiniones y sentimientos de forma oral empleando el sistema lingüístico propio del inglés."
6.0,Inglés,"Una persona demuestra su habilidad para comunicarse en inglés cuando es capaz de solucionar las necesidades comunicativas que surgen en el marco de sus actividades y relaciones profesionales, empleando el sistema lingüístico propio de este idioma.",25.0,Writing,"Habilidad para comunicar eficazmente datos, ideas, hechos, opiniones y sentimientos de forma escrita empleando el sistema lingüístico propio del inglés.","Writing: 
Habilidad para comunicar eficazmente datos, ideas, hechos, opiniones y sentimientos de forma escrita empleando el sistema lingüístico propio del inglés."
6.0,Inglés,"Una persona demuestra su habilidad para comunicarse en inglés cuando es capaz de solucionar las necesidades comunicativas que surgen en el marco de sus actividades y relaciones profesionales, empleando el sistema lingüístico propio de este idioma.",25.0,Vocabulary,"Habilidad para expresarse en más de una forma, respetando los contextos de uso de esa lengua, así como para comprender una variedad de enunciados y emitir juicios sobre su precisión.","Vocabulary: 
Habilidad para expresarse en más de una forma, respetando los contextos de uso de esa lengua, así como para comprender una variedad de enunciados y emitir juicios sobre su precisión."
7.0,Productividad,"Una persona demuestra su productividad cuando es capaz de crear valor, logrando la mejor relación entre los recursos utilizados, el tiempo empleado, la energía invertida y los resultados obtenidos.",26.0,Gestión del tiempo,Habilidad para planificar y ejercer control consciente del tiempo dedicado a actividades específicas.,"Gestión del tiempo: 
Habilidad para planificar y ejercer control consciente del tiempo dedicado a actividades específicas."
7.0,Productividad,"Una persona demuestra su productividad cuando es capaz de crear valor, logrando la mejor relación entre los recursos utilizados, el tiempo empleado, la energía invertida y los resultados obtenidos.",27.0,Planificación,"Habilidad para evaluar las acciones, el tiempo y los recursos necesarios para alcanzar un objetivo y diseñar metódicamente un plan que lo viabilice.  ","Planificación: 
Habilidad para evaluar las acciones, el tiempo y los recursos necesarios para alcanzar un objetivo y diseñar metódicamente un plan que lo viabilice.  "
7.0,Productividad,"Una persona demuestra su productividad cuando es capaz de crear valor, logrando la mejor relación entre los recursos utilizados, el tiempo empleado, la energía invertida y los resultados obtenidos.",28.0,Organización,"Habilidad para crear estructura y orden, para procurar el aumento de la eficiencia y eficacia de los esfuerzos propios o los de un equipo.","Organización: 
Habilidad para crear estructura y orden, para procurar el aumento de la eficiencia y eficacia de los esfuerzos propios o los de un equipo."
8.0,Gestión del cambio,"Una persona demuestra que sabe gestionar el cambio cuando es capaz de facilitar y conseguir la implementación exitosa de un proceso de transformación, trabajando con y para las personas en la asimilación de los cambios para reducir la resistencia a estos y generar adaptación.",29.0,Orientación a la mejora continua,"Habilidad para dirigir la atención, el esfuerzo y los recursos propios al aprovechamiento de oportunidades de mejora para incrementar el rendimiento y los resultados de un proceso o sistema del que se forma parte.","Orientación a la mejora continua: 
Habilidad para dirigir la atención, el esfuerzo y los recursos propios al aprovechamiento de oportunidades de mejora para incrementar el rendimiento y los resultados de un proceso o sistema del que se forma parte."
8.0,Gestión del cambio,"Una persona demuestra que sabe gestionar el cambio cuando es capaz de facilitar y conseguir la implementación exitosa de un proceso de transformación, trabajando con y para las personas en la asimilación de los cambios para reducir la resistencia a estos y generar adaptación.",30.0,Pensamiento sistémico,Habilidad para encontrar conexiones entre los elementos que conforman sistemas dinámicos complejos con el fin de comprenderlos y orientar eficientemente las intervenciones y los esfuerzos de transformación.,"Pensamiento sistémico: 
Habilidad para encontrar conexiones entre los elementos que conforman sistemas dinámicos complejos con el fin de comprenderlos y orientar eficientemente las intervenciones y los esfuerzos de transformación."
8.0,Gestión del cambio,"Una persona demuestra que sabe gestionar el cambio cuando es capaz de facilitar y conseguir la implementación exitosa de un proceso de transformación, trabajando con y para las personas en la asimilación de los cambios para reducir la resistencia a estos y generar adaptación.",31.0,Adaptabilidad,"Habilidad para responder adecuadamente a las exigencias del entorno, regulando el pensamiento y el comportamiento para lograr la adaptación y apreciar la diversidad de perspectivas y variables circunstanciales implicadas en cada nueva situación.","Adaptabilidad: 
Habilidad para responder adecuadamente a las exigencias del entorno, regulando el pensamiento y el comportamiento para lograr la adaptación y apreciar la diversidad de perspectivas y variables circunstanciales implicadas en cada nueva situación."
8.0,Gestión del cambio,"Una persona demuestra que sabe gestionar el cambio cuando es capaz de facilitar y conseguir la implementación exitosa de un proceso de transformación, trabajando con y para las personas en la asimilación de los cambios para reducir la resistencia a estos y generar adaptación.",32.0,Aprendizaje continuo,Habilidad para estudiar y aprender autónomamente de forma contínua sin que haya un incentivo externo.,"Aprendizaje continuo: 
Habilidad para estudiar y aprender autónomamente de forma contínua sin que haya un incentivo externo."
9.0,Negociación,"Una persona demuestra que sabe negociar cuando es capaz de establecer una relación de confianza con una o varias de las partes involucradas en un mismo asunto pero con intereses distintos, con miras a acercar sus posiciones y llegar a acuerdos que resulten beneficioso para todos.",33.0,Persuasión,"Habilidad para influir deliberadamente sobre el otro con la intención de modificar sus creencias, actitudes o comportamientos mediante un mensaje con fuerza argumentativa o sugestiva. ","Persuasión: 
Habilidad para influir deliberadamente sobre el otro con la intención de modificar sus creencias, actitudes o comportamientos mediante un mensaje con fuerza argumentativa o sugestiva. "
9.0,Negociación,"Una persona demuestra que sabe negociar cuando es capaz de establecer una relación de confianza con una o varias de las partes involucradas en un mismo asunto pero con intereses distintos, con miras a acercar sus posiciones y llegar a acuerdos que resulten beneficioso para todos.",34.0,Generación de acuerdos,Habilidad de construir acuerdos para involucrar a otro actor en la consecución de un objetivo común.,"Generación de acuerdos: 
Habilidad de construir acuerdos para involucrar a otro actor en la consecución de un objetivo común."
10.0,Wellness,"Una persona demuestra que es capaz de generar bienestar cuando procura para ella misma o para los demás las condiciones óptimas para conseguir una buena salud física, mental y emocional, y experimentar sentido de propósito y satisfacción con la vida en sus diversos dominios.",35.0,Salud mental y emocional,"Habilidad para hacer frente a las demandas de la vida diaria y sostener buenas relaciones con los demás manteniendo una actitud de autocuidado y ejerciendo prácticas que enriquecen la vida interior, procuran bienestar personal y provecho de la energía vital. ","Salud mental y emocional: 
Habilidad para hacer frente a las demandas de la vida diaria y sostener buenas relaciones con los demás manteniendo una actitud de autocuidado y ejerciendo prácticas que enriquecen la vida interior, procuran bienestar personal y provecho de la energía vital. "
10.0,Wellness,"Una persona demuestra que es capaz de generar bienestar cuando procura para ella misma o para los demás las condiciones óptimas para conseguir una buena salud física, mental y emocional, y experimentar sentido de propósito y satisfacción con la vida en sus diversos dominios.",36.0,Salud física,Habilidad para mantener un estado de bienestar que permite el funcionamiento óptimo del organismo.,"Salud física: 
Habilidad para mantener un estado de bienestar que permite el funcionamiento óptimo del organismo."
10.0,Wellness,"Una persona demuestra que es capaz de generar bienestar cuando procura para ella misma o para los demás las condiciones óptimas para conseguir una buena salud física, mental y emocional, y experimentar sentido de propósito y satisfacción con la vida en sus diversos dominios.",37.0,Balance de vida,Habilidad para establecer un equilibrio significativo y confortable entre la esfera laboral y la esfera personal.,"Balance de vida: 
Habilidad para establecer un equilibrio significativo y confortable entre la esfera laboral y la esfera personal."
10.0,Wellness,"Una persona demuestra que es capaz de generar bienestar cuando procura para ella misma o para los demás las condiciones óptimas para conseguir una buena salud física, mental y emocional, y experimentar sentido de propósito y satisfacción con la vida en sus diversos dominios.",38.0,Alimentación saludable,"Habilidad para alcanzar bienestar mediante la instalación de hábitos de alimentación suficiente, armónica, completa y balanceada.","Alimentación saludable: 
Habilidad para alcanzar bienestar mediante la instalación de hábitos de alimentación suficiente, armónica, completa y balanceada."
10.0,Wellness,"Una persona demuestra que es capaz de generar bienestar cuando procura para ella misma o para los demás las condiciones óptimas para conseguir una buena salud física, mental y emocional, y experimentar sentido de propósito y satisfacción con la vida en sus diversos dominios.",39.0,Salud financiera,Habilidad para alcanzar bienestar mediante la buena gestión de la economía personal y familiar con miras a hacer frente a imprevistos y conseguir metas vitales y de futuro.,"Salud financiera: 
Habilidad para alcanzar bienestar mediante la buena gestión de la economía personal y familiar con miras a hacer frente a imprevistos y conseguir metas vitales y de futuro."
11.0,Liderazgo,"Una persona demuestra su liderazgo cuando es capaz de coordinar y gestionar eficazmente a un equipo, propiciando un ambiente de trabajo sano e influyendo en cada uno de sus miembros para alentarlos al desarrollo entusiasta de sus tareas, el uso eficiente de los recursos, el trabajo colaborativo y la obtención de los mejores resultados posibles.",40.0,Empoderamiento,Habilidad para compartir la responsabilidad con otro delegando en él autoridad y confianza para que tome decisiones tendientes a alcanzar un objetivo común sin que exista la necesidad de elevar consultas.,"Empoderamiento: 
Habilidad para compartir la responsabilidad con otro delegando en él autoridad y confianza para que tome decisiones tendientes a alcanzar un objetivo común sin que exista la necesidad de elevar consultas."
11.0,Liderazgo,"Una persona demuestra su liderazgo cuando es capaz de coordinar y gestionar eficazmente a un equipo, propiciando un ambiente de trabajo sano e influyendo en cada uno de sus miembros para alentarlos al desarrollo entusiasta de sus tareas, el uso eficiente de los recursos, el trabajo colaborativo y la obtención de los mejores resultados posibles.",41.0,Motivación,"Habilidad de movilizar energía para activar, mover y orientar los propios actos, o los de terceros, hacia un objetivo en concreto en pos de la satisfacción de una necesidad específica. ","Motivación: 
Habilidad de movilizar energía para activar, mover y orientar los propios actos, o los de terceros, hacia un objetivo en concreto en pos de la satisfacción de una necesidad específica. "
11.0,Liderazgo,"Una persona demuestra su liderazgo cuando es capaz de coordinar y gestionar eficazmente a un equipo, propiciando un ambiente de trabajo sano e influyendo en cada uno de sus miembros para alentarlos al desarrollo entusiasta de sus tareas, el uso eficiente de los recursos, el trabajo colaborativo y la obtención de los mejores resultados posibles.",42.0,Pensamiento estratégico,Habilidad para anticipar y previsualizar el posible efecto futuro de una acción o decisión estratégica con miras a identificar oportunidades o riesgos a largo plazo.,"Pensamiento estratégico: 
Habilidad para anticipar y previsualizar el posible efecto futuro de una acción o decisión estratégica con miras a identificar oportunidades o riesgos a largo plazo."
11.0,Liderazgo,"Una persona demuestra su liderazgo cuando es capaz de coordinar y gestionar eficazmente a un equipo, propiciando un ambiente de trabajo sano e influyendo en cada uno de sus miembros para alentarlos al desarrollo entusiasta de sus tareas, el uso eficiente de los recursos, el trabajo colaborativo y la obtención de los mejores resultados posibles.",43.0,Coaching de equipos,Habilidad para fomentar el desarrollo de la identidad de equipo y el sentido de pertenencia a este para facilitar el trabajo colaborativo y la gestación de una inteligencia o sabiduría colectiva entre sus miembros.,"Coaching de equipos: 
Habilidad para fomentar el desarrollo de la identidad de equipo y el sentido de pertenencia a este para facilitar el trabajo colaborativo y la gestación de una inteligencia o sabiduría colectiva entre sus miembros."
12.0,Innovación,"Una persona demuestra que es innovadora cuando es capaz de generar ideas novedosas y originales que aportan soluciones o nuevos enfoques que contribuyen al mejoramiento de la calidad, la rentabilidad, la eficacia o la eficiencia de un producto, servicio, proceso o actividad.",44.0,Creatividad,Habilidad para generar soluciones novedosas y eficaces a los desafíos y problemas emergentes.,"Creatividad: 
Habilidad para generar soluciones novedosas y eficaces a los desafíos y problemas emergentes."
12.0,Innovación,"Una persona demuestra que es innovadora cuando es capaz de generar ideas novedosas y originales que aportan soluciones o nuevos enfoques que contribuyen al mejoramiento de la calidad, la rentabilidad, la eficacia o la eficiencia de un producto, servicio, proceso o actividad.",45.0,Pensamiento disruptivo,"Habilidad para generar múltiples e ingeniosas respuestas a un mismo desafío de forma espontáneo, fluida y no lineal.","Pensamiento disruptivo: 
Habilidad para generar múltiples e ingeniosas respuestas a un mismo desafío de forma espontáneo, fluida y no lineal."
12.0,Innovación,"Una persona demuestra que es innovadora cuando es capaz de generar ideas novedosas y originales que aportan soluciones o nuevos enfoques que contribuyen al mejoramiento de la calidad, la rentabilidad, la eficacia o la eficiencia de un producto, servicio, proceso o actividad.",46.0,Ideación,Habilidad de estimular el aparato creativo para generar una amplia variedad de ideas con miras a identificar aquellas que podrían materializarse para producir una innovación.,"Ideación: 
Habilidad de estimular el aparato creativo para generar una amplia variedad de ideas con miras a identificar aquellas que podrían materializarse para producir una innovación."
12.0,Innovación,"Una persona demuestra que es innovadora cuando es capaz de generar ideas novedosas y originales que aportan soluciones o nuevos enfoques que contribuyen al mejoramiento de la calidad, la rentabilidad, la eficacia o la eficiencia de un producto, servicio, proceso o actividad.",47.0,Pensamiento exponencial,Habilidad para aplicar estrategias de liderazgo exponencial empleando metodologías y herramientas que potencien las funciones del rol e impulsen el desarrollo de equipos de alto desempeño capaces de enfrentar todo tipo de desafíos misionales.,"Pensamiento exponencial: 
Habilidad para aplicar estrategias de liderazgo exponencial empleando metodologías y herramientas que potencien las funciones del rol e impulsen el desarrollo de equipos de alto desempeño capaces de enfrentar todo tipo de desafíos misionales."
13.0,Experiencia del cliente,Una persona demuestra su competencia para generar experiencias positivas y memorables a sus clientes cuando demuestra un interés permanente por detectar y satisfacer sus necesidades y prioridades y valora su tiempo y su feedback por encima de cualquier otro criterio al momento de emprender acciones que los involucran.,48.0,Servicio al cliente,"Habilidad de realizar el trabajo con base a las necesidades y demandas del cliente, establecer relaciones de confianza con él y considerarlo como una prioridad de actuación.","Servicio al cliente: 
Habilidad de realizar el trabajo con base a las necesidades y demandas del cliente, establecer relaciones de confianza con él y considerarlo como una prioridad de actuación."
13.0,Experiencia del cliente,Una persona demuestra su competencia para generar experiencias positivas y memorables a sus clientes cuando demuestra un interés permanente por detectar y satisfacer sus necesidades y prioridades y valora su tiempo y su feedback por encima de cualquier otro criterio al momento de emprender acciones que los involucran.,49.0,Manejo de objeciones,"Habilidad para hacer frente a las objeciones de un cliente sobre la presentación, precio, calidad, funcionalidad o cualquier otro aspecto de un producto o servicio en particular.","Manejo de objeciones: 
Habilidad para hacer frente a las objeciones de un cliente sobre la presentación, precio, calidad, funcionalidad o cualquier otro aspecto de un producto o servicio en particular."
13.0,Experiencia del cliente,Una persona demuestra su competencia para generar experiencias positivas y memorables a sus clientes cuando demuestra un interés permanente por detectar y satisfacer sus necesidades y prioridades y valora su tiempo y su feedback por encima de cualquier otro criterio al momento de emprender acciones que los involucran.,50.0,Customer Relationship Management (CRM),"Habilidad para emplear herramientas de relacionamiento con el cliente (CRM) para analizar y administrar las interacciones con clientes, anticipar sus necesidades y deseos, optimizar la rentabilidad, aumentar las ventas y personalizar campañas de captación de nuevos clientes.","Customer Relationship Management (CRM): 
Habilidad para emplear herramientas de relacionamiento con el cliente (CRM) para analizar y administrar las interacciones con clientes, anticipar sus necesidades y deseos, optimizar la rentabilidad, aumentar las ventas y personalizar campañas de captación de nuevos clientes."
13.0,Experiencia del cliente,Una persona demuestra su competencia para generar experiencias positivas y memorables a sus clientes cuando demuestra un interés permanente por detectar y satisfacer sus necesidades y prioridades y valora su tiempo y su feedback por encima de cualquier otro criterio al momento de emprender acciones que los involucran.,51.0,Diseño de la experiencia del cliente (CX),"Habilidad de identificar los factores impactan en la experiencia del cliente, para crear estrategias de atención e interacción, a través de diversos canales, que permitan brindarle una experiencia positiva memorable.","Diseño de la experiencia del cliente (CX): 
Habilidad de identificar los factores impactan en la experiencia del cliente, para crear estrategias de atención e interacción, a través de diversos canales, que permitan brindarle una experiencia positiva memorable."
